Date/Time Opened,Date/Time Closed,break_deduction,deductions_or_benefits,final_paycheck,leave_or_vacation_pay,minimum_wage,misclassification,overtime,payroll_records,regular_wages_unpaid,retaliation,tips,training_or_off_clock,Unclear,issue_count,cross_ordinance,employ_cannot_pay,employer_unreachable,evidence_mentioned,joint_employer_or_intermediary,long_or_repeated_period,multiple_workers,description_quality
2025-07-03 9:16:00,2025-07-24 15:36:00,0,0,0,1,0,0,0,1,1,0,0,0,0,3,1,0,0,1,0,1,0,3
2025-07-03 14:19:00,2025-09-18 14:36:00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2
2025-07-03 15:03:00,2025-08-08 11:22:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
2025-07-03 16:36:00,2025-08-08 11:25:00,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2
2025-07-08 8:42:00,2025-08-28 15:58:00,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
2025-07-09 10:40:00,2025-08-18 12:30:00,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2
2025-07-09 12:13:00,2025-08-18 12:32:00,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,2
2025-07-09 12:01:00,2025-09-18 16:11:00,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,3
2025-07-09 19:34:00,2025-08-18 15:51:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
2025-07-11 9:06:00,2025-08-18 15:53:00,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
2025-07-12 14:30:00,2025-08-18 12:36:00,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,2
2025-07-12 14:38:00,2025-08-18 12:38:00,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,2
2025-07-13 8:10:00,2025-08-18 12:41:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-07-13 8:12:00,2025-08-18 12:42:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-07-13 17:07:00,2025-08-18 12:43:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-07-16 7:38:00,2025-08-01 12:33:00,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2025-07-16 8:47:00,2025-10-27 12:05:00,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2
2025-07-16 11:44:00,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,3
2025-07-17 14:55:00,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2
2025-07-17 18:46:00,2025-08-18 12:46:00,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2025-07-18 3:31:00,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
2025-07-19 9:11:00,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
2025-07-20 14:28:00,2025-08-22 11:33:00,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
2025-07-20 18:34:00,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN
